qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.15390000771731138,0.0,0.0,992,454,316,454,0.5,0.0,40,0.08
0,graph_ppr,1,7.540899998275563,0.0,0.0,992,454,316,316,0.5,0.0,40,0.08
0,topogps,0,61.4388000103645,1.0,40.0,992,454,316,992,0.5,0.0,40,0.08
0,topogps_no_cue,0,57.33409998356365,3.0,40.0,992,454,316,454,0.5,0.0,40,0.08
1,nn,0,0.12290000449866056,0.0,0.0,624,1609,1448,1609,0.5,0.0,40,0.08
1,graph_ppr,1,3.913499996997416,0.0,0.0,624,1609,1448,1448,0.5,0.0,40,0.08
1,topogps,0,58.93769999966025,1.0,40.0,624,1609,1448,624,0.5,0.0,40,0.08
1,topogps_no_cue,0,51.89470000914298,25.0,36.0,624,1609,1448,624,0.5,0.0,40,0.08
2,nn,0,0.1469000126235187,0.0,0.0,467,1868,962,467,0.5,0.0,40,0.08
2,graph_ppr,1,3.9678000030107796,0.0,0.0,467,1868,962,962,0.5,0.0,40,0.08
2,topogps,0,18.46680001472123,1.0,11.0,467,1868,962,934,0.5,0.0,40,0.08
2,topogps_no_cue,0,40.43290001573041,6.0,28.0,467,1868,962,1868,0.5,0.0,40,0.08
3,nn,0,0.13230001786723733,0.0,0.0,18,1953,1448,18,0.5,0.0,40,0.08
3,graph_ppr,1,3.919000009773299,0.0,0.0,18,1953,1448,1448,0.5,0.0,40,0.08
3,topogps,0,16.012299980502576,1.0,9.0,18,1953,1448,865,0.5,0.0,40,0.08
3,topogps_no_cue,0,56.16300000110641,1.0,40.0,18,1953,1448,1953,0.5,0.0,40,0.08
4,nn,0,0.1517999917268753,0.0,0.0,1609,1842,1448,1609,0.5,0.0,40,0.08
4,graph_ppr,1,4.449800006113946,0.0,0.0,1609,1842,1448,1448,0.5,0.0,40,0.08
4,topogps,1,59.616199985612184,3.0,40.0,1609,1842,1448,1448,0.5,0.0,40,0.08
4,topogps_no_cue,0,49.75819998071529,25.0,35.0,1609,1842,1448,1842,0.5,0.0,40,0.08
5,nn,0,0.13620001845993102,0.0,0.0,1616,1312,432,1616,0.5,0.0,40,0.08
5,graph_ppr,1,3.9951000071596354,0.0,0.0,1616,1312,432,432,0.5,0.0,40,0.08
5,topogps,0,57.72579999756999,1.0,40.0,1616,1312,432,1616,0.5,0.0,40,0.08
5,topogps_no_cue,0,55.787699995562434,1.0,40.0,1616,1312,432,1312,0.5,0.0,40,0.08
6,nn,0,0.13699999544769526,0.0,0.0,196,1979,1090,196,0.5,0.0,40,0.08
