qid,method,success,rt_ms,coarse_visited,fine_steps,cue_a,cue_b,target_idx,pred_idx,dropout,rewire,steps,lr
0,nn,0,0.19469999824650586,0.0,0.0,992,454,316,454,0.7,0.0,0,0.08
0,graph_ppr,0,4.6085000212769955,0.0,0.0,992,454,316,296,0.7,0.0,0,0.08
0,topogps_cuepath,0,2.209500002209097,1.0,0.0,992,454,316,992,0.7,0.0,0,0.08
0,topogps_no_cue,0,1.173900003777817,2.0,0.0,992,454,316,454,0.7,0.0,0,0.08
1,nn,0,0.09210000280290842,0.0,0.0,624,1609,1448,1609,0.7,0.0,0,0.08
1,graph_ppr,1,3.9451999764423817,0.0,0.0,624,1609,1448,1448,0.7,0.0,0,0.08
1,topogps_cuepath,0,2.145200007362291,1.0,0.0,624,1609,1448,624,0.7,0.0,0,0.08
1,topogps_no_cue,0,1.2337999942246825,9.0,0.0,624,1609,1448,1609,0.7,0.0,0,0.08
2,nn,0,0.0872999953571707,0.0,0.0,467,1868,962,467,0.7,0.0,0,0.08
2,graph_ppr,1,3.9090999925974756,0.0,0.0,467,1868,962,962,0.7,0.0,0,0.08
2,topogps_cuepath,0,2.119200013112277,1.0,0.0,467,1868,962,467,0.7,0.0,0,0.08
2,topogps_no_cue,0,1.1808999988716096,5.0,0.0,467,1868,962,1868,0.7,0.0,0,0.08
3,nn,0,0.09689998114481568,0.0,0.0,18,1953,1448,18,0.7,0.0,0,0.08
3,graph_ppr,0,2.304800000274554,0.0,0.0,18,1953,1448,328,0.7,0.0,0,0.08
3,topogps_cuepath,0,1.8718999926932156,1.0,0.0,18,1953,1448,18,0.7,0.0,0,0.08
3,topogps_no_cue,0,1.1471000034362078,1.0,0.0,18,1953,1448,1953,0.7,0.0,0,0.08
4,nn,0,0.08329999400302768,0.0,0.0,1609,1842,1448,1609,0.7,0.0,0,0.08
4,graph_ppr,1,3.957100008847192,0.0,0.0,1609,1842,1448,1448,0.7,0.0,0,0.08
4,topogps_cuepath,0,2.2966000251471996,1.0,0.0,1609,1842,1448,1609,0.7,0.0,0,0.08
4,topogps_no_cue,0,1.1647000210359693,1.0,0.0,1609,1842,1448,1842,0.7,0.0,0,0.08
5,nn,0,0.09269997826777399,0.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
5,graph_ppr,1,3.909199993358925,0.0,0.0,1616,1312,432,432,0.7,0.0,0,0.08
5,topogps_cuepath,0,1.870499982032925,1.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
5,topogps_no_cue,0,1.1103000142611563,1.0,0.0,1616,1312,432,1616,0.7,0.0,0,0.08
6,nn,0,0.09089999366551638,0.0,0.0,196,1979,1090,196,0.7,0.0,0,0.08
6,graph_ppr,1,3.9510000206064433,0.0,0.0,196,1979,1090,1090,0.7,0.0,0,0.08
6,topogps_cuepath,0,1.9927000103052706,1.0,0.0,196,1979,1090,196,0.7,0.0,0,0.08
6,topogps_no_cue,0,1.2123999767936766,3.0,0.0,196,1979,1090,1979,0.7,0.0,0,0.08
7,nn,0,0.09359998512081802,0.0,0.0,213,992,454,992,0.7,0.0,0,0.08
7,graph_ppr,0,3.9822999970056117,0.0,0.0,213,992,454,316,0.7,0.0,0,0.08
7,topogps_cuepath,0,2.419299999019131,1.0,0.0,213,992,454,213,0.7,0.0,0,0.08
7,topogps_no_cue,0,1.153099990915507,1.0,0.0,213,992,454,213,0.7,0.0,0,0.08
8,nn,0,0.09590000263415277,0.0,0.0,1783,18,1448,18,0.7,0.0,0,0.08
8,graph_ppr,1,4.472800006624311,0.0,0.0,1783,18,1448,1448,0.7,0.0,0,0.08
8,topogps_cuepath,0,2.3437999770976603,1.0,0.0,1783,18,1448,1783,0.7,0.0,0,0.08
8,topogps_no_cue,0,1.2104999914299697,9.0,0.0,1783,18,1448,1783,0.7,0.0,0,0.08
9,nn,0,0.08860000525601208,0.0,0.0,238,1609,1448,238,0.7,0.0,0,0.08
9,graph_ppr,1,3.8754999986849725,0.0,0.0,238,1609,1448,1448,0.7,0.0,0,0.08
9,topogps_cuepath,0,2.057100005913526,1.0,0.0,238,1609,1448,238,0.7,0.0,0,0.08
9,topogps_no_cue,0,1.1624999751802534,9.0,0.0,238,1609,1448,1609,0.7,0.0,0,0.08
10,nn,0,0.09560000034980476,0.0,0.0,1953,1633,1448,1633,0.7,0.0,0,0.08
10,graph_ppr,1,4.010799981188029,0.0,0.0,1953,1633,1448,1448,0.7,0.0,0,0.08
10,topogps_cuepath,0,1.9595999910961837,1.0,0.0,1953,1633,1448,1953,0.7,0.0,0,0.08
10,topogps_no_cue,0,1.19270000141114,9.0,0.0,1953,1633,1448,1633,0.7,0.0,0,0.08
11,nn,0,0.11029999586753547,0.0,0.0,1614,798,793,798,0.7,0.0,0,0.08
11,graph_ppr,1,3.915399982361123,0.0,0.0,1614,798,793,793,0.7,0.0,0,0.08
11,topogps_cuepath,0,1.9924000080209225,1.0,0.0,1614,798,793,1614,0.7,0.0,0,0.08
11,topogps_no_cue,0,1.1796000180765986,1.0,0.0,1614,798,793,1614,0.7,0.0,0,0.08
12,nn,0,0.09190000128000975,0.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
12,graph_ppr,0,2.3427000269293785,0.0,0.0,721,1417,1448,328,0.7,0.0,0,0.08
12,topogps_cuepath,0,2.5357000122312456,1.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
12,topogps_no_cue,0,1.6312999941874295,1.0,0.0,721,1417,1448,721,0.7,0.0,0,0.08
13,nn,0,0.09289997979067266,0.0,0.0,1263,1783,1448,1783,0.7,0.0,0,0.08
13,graph_ppr,1,3.9049999904818833,0.0,0.0,1263,1783,1448,1448,0.7,0.0,0,0.08
13,topogps_cuepath,0,2.3816000029910356,1.0,0.0,1263,1783,1448,1263,0.7,0.0,0,0.08
13,topogps_no_cue,0,1.2170000118203461,9.0,0.0,1263,1783,1448,1783,0.7,0.0,0,0.08
14,nn,0,0.09180000051856041,0.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
14,graph_ppr,0,2.7741999947465956,0.0,0.0,47,238,1448,328,0.7,0.0,0,0.08
14,topogps_cuepath,0,2.18840001616627,1.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
14,topogps_no_cue,0,1.3524999958463013,1.0,0.0,47,238,1448,47,0.7,0.0,0,0.08
